iter	Passed	Remaining
0	142	142668
1	149	74611
2	157	52245
3	161	40160
4	163	32570
5	166	27627
6	168	23971
7	171	21253
8	174	19172
9	176	17449
10	179	16126
11	182	15019
12	184	13982
13	185	13095
14	187	12299
15	188	11597
16	189	10984
17	191	10457
18	193	9982
19	194	9546
20	196	9168
21	197	8786
22	199	8463
23	200	8159
24	201	7874
25	210	7902
26	212	7660
27	213	7425
28	215	7208
29	216	7008
30	218	6835
31	220	6665
32	221	6504
33	223	6337
34	224	6189
35	226	6051
36	227	5922
37	229	5799
38	230	5671
39	231	5563
40	233	5455
41	234	5358
42	236	5256
43	237	5162
44	238	5070
45	240	4985
46	241	4902
47	243	4827
48	244	4753
49	246	4684
50	247	4613
51	249	4548
52	250	4481
53	252	4416
54	253	4352
55	255	4299
56	256	4247
57	258	4193
58	259	4139
59	260	4088
60	262	4040
61	263	3993
62	265	3946
63	266	3902
64	268	3867
65	270	3831
66	272	3791
67	273	3750
68	274	3705
69	276	3667
70	277	3627
71	278	3591
72	280	3564
73	282	3535
74	284	3503
75	285	3472
76	287	3441
77	288	3411
78	290	3381
79	291	3348
80	293	3326
81	294	3299
82	296	3272
83	296	3237
84	298	3210
85	299	3184
86	301	3160
87	302	3136
88	304	3114
89	306	3094
90	307	3075
91	309	3052
92	310	3030
93	312	3010
94	313	2989
95	314	2965
96	316	2944
97	317	2924
98	319	2910
99	321	2891
100	322	2871
101	323	2847
102	324	2829
103	326	2811
104	327	2793
105	329	2775
106	330	2757
107	332	2744
108	333	2729
109	335	2713
110	336	2695
111	337	2678
112	338	2656
113	339	2641
114	341	2625
115	342	2611
116	344	2596
117	345	2585
118	347	2571
119	348	2558
120	350	2544
121	351	2531
122	353	2519
123	354	2507
124	356	2493
125	357	2482
126	359	2471
127	361	2460
128	362	2448
129	363	2434
130	365	2423
131	366	2410
132	367	2397
133	369	2385
134	370	2372
135	371	2362
136	373	2352
137	374	2341
138	376	2329
139	377	2318
140	378	2307
141	379	2293
142	381	2283
143	382	2272
144	383	2262
145	385	2255
146	387	2246
147	388	2237
148	390	2229
149	391	2219
150	393	2209
151	394	2199
152	395	2190
153	397	2181
154	399	2175
155	400	2166
156	402	2159
157	403	2151
158	404	2141
159	406	2132
160	407	2123
161	408	2114
162	410	2105
163	411	2098
164	413	2093
165	415	2085
166	416	2077
167	418	2070
168	419	2061
169	420	2053
170	421	2045
171	423	2037
172	424	2030
173	426	2024
174	427	2016
175	429	2009
176	430	2001
177	431	1993
178	432	1984
179	433	1976
180	435	1970
181	436	1963
182	438	1958
183	440	1953
184	441	1947
185	443	1940
186	444	1933
187	446	1926
188	447	1919
189	448	1912
190	449	1905
191	451	1901
192	453	1896
193	455	1890
194	456	1884
195	457	1878
196	459	1871
197	460	1865
198	462	1859
199	463	1854
200	465	1850
201	467	1845
202	468	1839
203	469	1833
204	471	1827
205	472	1821
206	474	1816
207	476	1812
208	477	1808
209	479	1804
210	481	1799
211	482	1794
212	484	1788
213	485	1783
214	487	1778
215	488	1773
216	490	1768
217	491	1764
218	493	1761
219	495	1756
220	496	1751
221	498	1745
222	499	1740
223	501	1735
224	502	1731
225	503	1725
226	505	1720
227	507	1717
228	508	1712
229	509	1707
230	511	1701
231	512	1697
232	514	1692
233	515	1687
234	516	1682
235	518	1678
236	520	1675
237	521	1670
238	523	1666
239	524	1662
240	526	1657
241	527	1652
242	528	1647
243	530	1643
244	531	1639
245	533	1636
246	535	1632
247	537	1629
248	538	1624
