iter	Logloss
0	0.6877527186
1	0.6824356558
2	0.6773928244
3	0.6719489693
4	0.6677240945
5	0.663358041
6	0.6580323695
7	0.6535663568
8	0.6494809661
9	0.6440656209
10	0.6397348196
11	0.6350149691
12	0.6305794494
13	0.6260864839
14	0.6211394373
15	0.6162024333
16	0.6131976289
17	0.609710869
18	0.6058914642
19	0.601775113
20	0.5981374585
21	0.5941636477
22	0.5897295444
23	0.5868650442
24	0.5835898315
25	0.5812597831
26	0.5775485371
27	0.5738881759
28	0.570647834
29	0.5675629592
30	0.5634346799
31	0.5603579202
32	0.5572722507
33	0.5532617465
34	0.549760873
35	0.5460451044
36	0.5420120913
37	0.5396771796
38	0.5360527232
39	0.5323823598
40	0.5291762773
41	0.5260491243
42	0.5228878547
43	0.5201482331
44	0.5171730321
45	0.515057223
46	0.511714779
47	0.5081367192
48	0.5055505783
49	0.5027193081
50	0.4995567733
51	0.4967528291
52	0.4938295943
53	0.4916364258
54	0.4883165864
55	0.485642046
56	0.4825346609
57	0.4802240724
58	0.4775923381
59	0.4748583934
60	0.4721701955
61	0.4692634583
62	0.4668376641
63	0.4646366412
64	0.4617677695
65	0.4588784306
66	0.456065688
67	0.4535800143
68	0.4509985925
69	0.4488522484
70	0.448280819
71	0.4456976076
72	0.4429966204
73	0.440960103
74	0.4392374155
75	0.4374901223
76	0.4356564134
77	0.4331838137
78	0.4315924494
79	0.4304207929
80	0.427987811
81	0.4255368967
82	0.423612276
83	0.4214903305
84	0.4193136391
85	0.4171498778
86	0.4154692038
87	0.4141159784
88	0.4121087322
89	0.410184098
90	0.4078382133
91	0.4060278507
92	0.4041221992
93	0.40185631
94	0.4001157005
95	0.3980849346
96	0.3963464072
97	0.3944879157
98	0.3924972551
99	0.3908451082
100	0.3894479406
101	0.3880910803
102	0.386019613
103	0.3842502069
104	0.3824385729
105	0.3811932341
106	0.379223845
107	0.3781607487
108	0.3765172295
109	0.3755000544
110	0.3736322788
111	0.3717099501
112	0.3699874117
113	0.3682473565
114	0.3663217732
115	0.3649332302
116	0.3634146786
117	0.3614313608
118	0.3599001243
119	0.3583730107
120	0.3568285461
121	0.3552278455
122	0.3547393331
123	0.3532266296
124	0.352063694
125	0.3508937307
126	0.3496284454
127	0.3480535685
128	0.3472385504
129	0.3460484491
130	0.3454197746
131	0.344017628
132	0.3427199605
133	0.3412602058
134	0.3408422011
135	0.3393407761
136	0.3379274101
137	0.336399673
138	0.334985583
139	0.3347501949
140	0.3334498866
141	0.3321131361
142	0.3310539547
143	0.3303377987
144	0.3293123311
145	0.3282123249
146	0.3268748366
147	0.3257343733
148	0.3247501521
149	0.324177765
150	0.3233476959
151	0.3220767226
152	0.3210146079
153	0.3200613006
154	0.3187199703
155	0.3178850469
156	0.3166476111
157	0.3154853791
158	0.3144496197
159	0.3136081275
160	0.3124365332
161	0.3113901838
162	0.3103686775
163	0.3093583607
164	0.3082730364
165	0.3072541894
166	0.306617392
167	0.3056408661
168	0.3044779251
169	0.3036059093
170	0.3031456256
171	0.3024383167
172	0.3018518236
173	0.3010179973
174	0.3005019966
175	0.2995734423
176	0.2986366379
177	0.2981086134
178	0.2979578008
179	0.296990321
180	0.2961118892
181	0.2950358734
182	0.2939920783
183	0.2930522122
184	0.2922595354
185	0.2911756277
186	0.2902920116
187	0.2894250895
188	0.2888074782
189	0.2879769183
190	0.2872806588
191	0.2863422778
192	0.2853498783
193	0.2846797742
194	0.2841503971
195	0.2833501111
196	0.2823054316
197	0.2813651758
198	0.2807341406
199	0.2800980628
200	0.279598868
201	0.2787433142
202	0.2776703486
203	0.2769565323
204	0.276159964
205	0.2757394496
206	0.2747924884
207	0.2740307712
208	0.2731464308
209	0.2723432456
210	0.2714301038
211	0.2706792295
212	0.2701609449
213	0.2697099103
214	0.2688852286
215	0.2681274263
216	0.2674335392
217	0.2668656214
218	0.266305704
219	0.2659501656
220	0.2652218737
221	0.2649020481
222	0.2639196647
223	0.2633439232
224	0.2629906195
225	0.2620915669
226	0.2610932875
227	0.2605775733
228	0.2601609712
229	0.2594661451
230	0.258829375
231	0.2583206579
232	0.2577008897
233	0.2569636259
234	0.256631603
235	0.2563801058
236	0.2556395907
237	0.2551357193
238	0.2545115759
239	0.2537017139
240	0.2530553845
241	0.2525103649
242	0.2520008428
243	0.2513409944
244	0.2508580569
245	0.2502296187
246	0.2497112022
247	0.2493623056
248	0.2489403302
249	0.2486562379
250	0.2483358621
251	0.2478420919
252	0.2472221007
253	0.2468121606
254	0.246411398
255	0.2462297176
256	0.2459553551
257	0.2452933568
258	0.2449029921
259	0.244538464
260	0.2437897443
261	0.2433560975
262	0.242820911
263	0.2424304549
264	0.2416633758
265	0.2409756873
266	0.2402457476
267	0.2396702382
268	0.2390682892
269	0.2383887945
270	0.2377071374
271	0.2371323293
272	0.2365115957
273	0.2363009411
274	0.2358330047
275	0.2353155274
276	0.2347904857
277	0.2342093437
278	0.2336265171
279	0.2331982512
280	0.2326050081
281	0.232308006
282	0.2317039082
283	0.2314456606
284	0.2309522499
