iter	Passed	Remaining
0	144	144258
1	146	73286
2	150	49923
3	154	38522
4	162	32382
5	169	28106
6	173	24648
7	177	21968
8	184	20265
9	189	18746
10	192	17311
11	196	16149
12	202	15348
13	204	14436
14	209	13787
15	219	13528
16	225	13031
17	227	12429
18	231	11937
19	236	11565
20	248	11593
21	253	11258
22	262	11168
23	265	10795
24	272	10632
25	274	10289
26	278	10025
27	284	9867
28	288	9662
29	294	9531
30	300	9386
31	305	9243
32	309	9066
33	313	8897
34	316	8734
35	320	8570
36	326	8506
37	330	8357
38	339	8358
39	342	8210
40	344	8049
41	348	7939
42	353	7859
43	362	7867
44	369	7836
45	373	7741
46	375	7612
47	380	7550
48	385	7484
49	391	7445
50	397	7402
51	400	7298
52	402	7189
53	411	7215
54	415	7141
55	417	7044
56	424	7021
57	430	6996
58	438	6998
59	445	6982
60	452	6971
61	454	6881
62	457	6799
63	459	6720
64	464	6685
65	468	6632
66	470	6553
67	475	6516
68	478	6454
69	482	6411
70	483	6329
71	486	6267
72	488	6202
73	490	6141
74	492	6077
75	494	6016
76	499	5991
77	503	5953
78	505	5899
79	508	5844
80	511	5802
81	513	5747
82	515	5691
83	517	5645
84	519	5593
85	521	5541
86	526	5524
87	530	5502
88	532	5452
89	535	5410
90	537	5371
91	539	5326
92	541	5285
93	544	5243
94	545	5200
95	571	5379
96	573	5341
97	575	5300
98	578	5264
99	582	5239
100	585	5212
101	587	5172
102	589	5132
103	591	5092
104	596	5088
105	598	5047
106	600	5009
107	602	4974
108	604	4940
109	606	4908
110	609	4884
111	611	4851
112	614	4822
113	616	4793
114	621	4784
115	623	4755
116	626	4725
117	627	4692
118	629	4659
119	630	4626
120	635	4616
121	637	4588
122	639	4556
123	641	4534
124	643	4506
125	646	4487
126	649	4461
127	651	4436
128	652	4408
129	654	4380
130	655	4351
131	661	4348
132	663	4326
133	665	4303
134	667	4277
135	671	4263
136	673	4242
137	675	4221
138	677	4197
139	678	4168
140	680	4146
141	686	4147
142	689	4134
143	691	4113
144	693	4092
145	696	4074
146	698	4055
147	700	4033
148	702	4012
149	704	3992
150	706	3970
151	708	3950
152	711	3939
153	714	3924
154	716	3906
155	719	3893
156	721	3874
157	723	3857
158	725	3838
159	727	3819
160	729	3800
161	732	3790
162	735	3775
163	738	3765
164	743	3764
165	746	3749
166	748	3732
167	751	3721
168	755	3716
169	758	3703
170	760	3688
171	764	3678
172	767	3671
173	770	3656
174	775	3657
175	778	3644
176	782	3636
177	784	3621
178	785	3601
179	786	3584
180	792	3585
181	795	3576
182	797	3562
183	799	3546
184	801	3532
185	804	3519
186	807	3508
187	809	3496
188	811	3480
189	812	3465
190	818	3467
191	825	3473
192	827	3460
193	830	3448
194	834	3445
195	838	3437
196	840	3425
197	842	3414
198	846	3408
199	849	3398
200	851	3385
201	853	3371
202	857	3367
203	859	3353
204	862	3345
205	864	3332
206	866	3319
207	869	3311
208	872	3303
209	874	3290
210	876	3279
211	880	3273
212	883	3263
213	885	3252
214	887	3239
215	889	3228
216	892	3219
217	895	3212
218	898	3202
219	899	3190
220	902	3179
221	904	3168
222	905	3155
223	908	3147
224	910	3134
225	911	3122
226	915	3116
227	917	3105
228	919	3094
229	923	3090
230	926	3082
231	928	3073
232	931	3067
233	938	3073
234	940	3062
235	942	3051
236	948	3052
237	952	3048
238	954	3039
239	958	3034
240	963	3033
241	966	3026
242	968	3016
243	972	3014
244	977	3010
245	979	3003
246	983	2998
247	987	2994
248	990	2987
249	992	2978
250	1004	2996
251	1007	2989
252	1013	2991
253	1015	2981
254	1017	2974
255	1020	2966
256	1023	2959
257	1029	2961
258	1033	2958
259	1038	2954
260	1040	2947
261	1043	2940
262	1046	2931
263	1051	2931
264	1056	2930
265	1060	2926
266	1063	2918
267	1066	2912
268	1068	2903
269	1070	2895
270	1075	2893
271	1082	2896
272	1085	2890
273	1088	2882
274	1093	2882
275	1095	2873
276	1100	2871
277	1105	2870
278	1111	2872
279	1114	2865
280	1119	2863
281	1121	2855
282	1124	2848
283	1126	2841
284	1129	2833
285	1133	2829
286	1138	2827
287	1141	2821
288	1144	2815
289	1146	2807
290	1152	2808
291	1154	2799
292	1156	2791
293	1163	2795
294	1167	2789
295	1169	2781
296	1172	2775
297	1178	2776
298	1181	2768
299	1190	2776
300	1193	2770
301	1195	2762
302	1197	2754
303	1199	2745
304	1203	2742
305	1205	2733
306	1207	2725
307	1212	2723
308	1215	2718
309	1217	2709
310	1219	2700
311	1222	2695
312	1224	2688
313	1226	2679
314	1228	2671
315	1230	2663
316	1231	2654
317	1233	2646
318	1237	2640
319	1239	2634
320	1241	2626
321	1244	2620
322	1251	2624
323	1254	2618
324	1259	2616
325	1264	2614
326	1267	2607
327	1271	2604
328	1273	2597
329	1279	2597
330	1285	2598
331	1287	2590
332	1290	2584
333	1292	2577
334	1297	2575
335	1302	2573
336	1306	2569
337	1311	2568
338	1315	2565
339	1322	2566
340	1325	2562
341	1329	2557
342	1334	2557
343	1337	2549
344	1339	2543
345	1348	2549
346	1352	2544
347	1354	2538
348	1359	2536
349	1362	2529
350	1364	2522
351	1367	2518
352	1377	2525
353	1381	2520
354	1388	2522
355	1391	2517
356	1394	2511
357	1399	2509
358	1404	2507
359	1407	2502
360	1410	2497
361	1412	2489
362	1415	2483
363	1417	2477
364	1420	2472
365	1425	2468
366	1430	2468
367	1433	2462
368	1435	2455
369	1440	2452
370	1442	2446
371	1447	2442
372	1449	2436
373	1453	2432
374	1459	2432
375	1463	2428
376	1470	2430
377	1474	2426
378	1477	2421
379	1484	2421
380	1488	2418
381	1494	2418
382	1500	2417
383	1511	2424
384	1516	2421
385	1519	2417
386	1522	2411
387	1525	2406
388	1529	2403
389	1539	2408
390	1542	2402
391	1545	2396
392	1547	2389
393	1556	2393
394	1558	2387
395	1561	2381
396	1568	2382
397	1571	2377
398	1580	2379
399	1583	2375
400	1596	2384
401	1607	2391
402	1611	2386
403	1614	2381
404	1622	2384
405	1628	2382
406	1635	2382
407	1639	2379
408	1646	2379
409	1652	2378
410	1655	2372
411	1661	2371
412	1681	2390
413	1693	2397
414	1700	2396
415	1722	2417
416	1729	2418
417	1732	2412
418	1738	2410
419	1744	2409
420	1749	2405
421	1760	2411
422	1769	2413
423	1775	2412
424	1779	2407
425	1782	2401
426	1793	2406
427	1807	2415
428	1813	2413
429	1818	2410
430	1822	2405
431	1827	2403
432	1833	2400
433	1836	2395
434	1840	2390
435	1843	2384
436	1849	2382
437	1853	2378
438	1856	2372
439	1861	2369
440	1867	2366
441	1871	2362
442	1882	2366
443	1883	2359
444	1887	2354
445	1895	2354
446	1902	2354
447	1907	2349
448	1916	2351
449	1923	2350
450	1927	2346
451	1934	2345
452	1948	2352
453	1951	2347
454	1954	2340
455	1957	2335
456	1962	2332
457	1968	2330
458	1993	2349
459	1998	2346
460	2003	2342
461	2006	2336
462	2010	2332
463	2018	2331
464	2022	2326
465	2025	2320
466	2040	2329
467	2049	2329
468	2052	2323
469	2055	2317
470	2066	2321
471	2075	2322
472	2078	2316
473	2081	2310
474	2083	2303
475	2091	2302
476	2095	2297
477	2100	2294
478	2105	2289
479	2107	2283
480	2119	2286
481	2124	2283
482	2126	2276
483	2131	2272
484	2134	2266
485	2141	2264
486	2147	2262
487	2152	2258
488	2156	2253
489	2158	2246
490	2161	2240
491	2170	2240
492	2172	2234
493	2176	2229
494	2180	2224
495	2186	2221
496	2191	2217
497	2198	2216
498	2202	2211
499	2208	2208
500	2215	2206
501	2218	2201
502	2222	2196
503	2226	2190
504	2228	2184
505	2232	2179
506	2237	2175
507	2240	2169
508	2242	2162
509	2245	2157
510	2250	2153
511	2254	2148
512	2258	2144
513	2261	2138
514	2268	2136
515	2276	2135
516	2279	2129
517	2281	2123
518	2285	2118
519	2290	2113
520	2294	2109
521	2304	2110
522	2311	2107
523	2315	2103
524	2327	2105
525	2330	2100
526	2334	2095
527	2340	2092
528	2345	2088
529	2348	2082
530	2351	2076
531	2354	2071
532	2357	2065
533	2359	2059
534	2362	2053
